,part_number,description,quantity,price,roi
2688,2881964-266,"k-grip,acc,n,blk",1,104.99,-100.0
2689,2882005-468,"k-peg,shft,brk,ns,blk",2,129.99,-100.0
2690,2882007-468,"k-cover,strut,ns, blk",1,259.99,-100.0
2691,2882132,k-garage door opener,3,234.99,-100.0
2692,2882251-626,"k-peg,pass,n2,jt blk",3,259.99,-28.57
2693,2882251-650,"k-peg,pass,n2,ti slv",3,259.99,-100.0
2694,2882295-468,"k-peg,passenger,ns,blk",2,209.99,-100.0
2695,2882516-266,"k-rack,solo,sc,blk",3,359.99,-71.43
2696,2882517,"k-headlight,led,mid",3,424.99,-55.55
2697,2882519,"k-intake,performance,mid",10,234.99,-70.0
2698,2882520-266,"k-grip,sc,blk",2,104.99,-100.0
2699,2882718,k-close off solo seat,3,79.99,-100.0
2700,2882767-01,"k-seat,passenger,blk",4,424.99,-100.0
2701,2882828-156,"k-grips,ind,chr",1,259.99,-100.0
2702,2882828-468,"k-grips,ind,blk",1,259.99,-100.0
2703,2882853-lna,"k-seat,pass,sc,w/backrest,brn",10,619.99,-100.0
2704,2882853-vba,"k-seat,pass,sc,w/backrest,blkv",8,579.99,-94.64
2705,2882854-lna,"k-bag,solo rack,blk",1,359.99,-100.0
2706,2882864-156,"k-lp frm,hddress,na,chr",1,129.99,-100.0
2707,2882866-468,"k-floorboard,pass,ness,16,blk",2,579.99,-100.0
2708,2882923-410,"k-hndlbar,midrise,pol",1,534.99,-100.0
2709,2883021-156,"k-floorboard,drvr,ness,16,chr",2,705.99,-100.0
2710,2883021-468,"k-floorboard,drvr,ness,16,blk",2,709.99,-100.0
2711,2883040,"k-navigation,upgrade,ind",1,709.99,-100.0
2712,2883055-lna,"k-seat,pass,sc,w/o bkrest,brn",1,489.99,-100.0
2713,2883056-658,"k-floorboard,sc,blk",1,424.99,-100.0
2714,2883268,"k-grip,heated",3,429.99,-100.0
2715,2883271-626,"k-mount,ext reach,sc,tblk",3,259.99,-100.0
2716,2883304,k-tools,1,32.99,-100.0
2717,2883309-266,"k-wndshld,spfld,low,smoke,bl",1,834.99,-100.0
2718,2883321-13,"k-badges,tour,blk prl",1,279.99,-100.0
2719,2883402-266,"k-rack,sdlbag lid,blk",1,474.99,-100.0
2720,2883406,"k-lines,acc handlebar install",2,154.99,-100.0
2721,2883450-266,"k-hndlbar,midrise,blk",3,579.99,-100.0
2722,2883503-vna,"k-seat,scrambler,vnl,brn",1,424.99,-100.0
2723,2883511,k-luggage rack,1,359.99,-57.14
2724,2883638,k-split nut,3,104.99,-85.71
2725,2883665-266,"k-grills,sbag audio,flat,blk",1,309.99,-100.0
2726,2883689,"k-usb,19",5,129.99,-91.43
2727,2883690,"k-usb,retro",4,234.99,-100.0
2728,2883728-vba,"k-pad,pass backrest,blk",3,359.99,-100.0
2729,2883730-468,"k-mirror,barend,scout,black",1,333.99,-57.14
2730,2883737-266,"k-accy-airbox-indian,glblk",4,619.99,-100.0
2731,2883842,k-brkt rear mount,1,129.99,-100.0
2732,2883887,scout all weather cover blk,4,259.99,-100.0
2733,2883888,chf all weather full cover,2,259.99,-57.14
2734,2883889,chf dust cover,1,259.99,-100.0
2735,2883895,"k-cover,roadmaster,full",2,259.99,-78.57
2736,2883924,"k-harness,audio,sb,b",1,144.99,-57.14
2737,2883926,k-100w-525-spkr-fa,4,679.99,-100.0
2738,2883998-156,"k-spool mount,csr,chr",1,424.99,-100.0
2739,2884011,k-windscreen mount,1,371.99,-100.0
2740,2884012-266,"k-handlebar,mini-ape,blk",3,234.99,-85.71
2741,2884012-410,"k-handlebar,mini-ape,pol",3,234.99,-100.0
2742,2884045,"k-spool,quick release",4,234.99,-89.29
2743,2884063-156,"k-asm,bar,hgwy,chr",1,579.99,-100.0
2744,2884063-266,"k-asm,bar,hgwy,blk",1,579.99,-100.0
2745,2884069,"k-mount-footpeg,pass,rh,he",1,144.99,-100.0
2746,2884113,"k-bag,rack,scout",1,359.99,-100.0
