cost_per_unit,order_to_sales_ratio,supplier_name,price,description,quantity_ordered_ytd,quantity,gross_profit,roi,sell_through_rate,reorder_point,3m_days_supply,rolling_12m_sales,sales_volatility,part_status,safety_stock,part_number,total_cost,3m_turnover,days_of_inventory_outstanding,demand,sales_revenue,cogs,1m_days_supply,margin,margin_percentage,special_orders_ytd,negative_on_hand,rolling_3m_sales,12m_days_supply,obsolescence_risk,turnover,months_no_sale,sales_trend,recent_sales_trend,normalized_seasonal_score
3462.23,0.0,zero motorcycles,4121.99,charge tank j1772,0,0,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,10-08257-51,0.0,0.0,480,0.0,0.0,0.0,0,659.76,16.01,0,0,0,0,1.0,0.0,16,-0.012280702,0.0,-0.059483236081101155
104.4,0.0,bmw group canada,145.99,spacer right,0,1,41.59,39.84,50.0,0,0,1,4.358899,idle,0,46637664396,104.4,104.4,512,0.13224071666155668,145.99,104.4,0,41.59,28.49,0,0,0,365,0.017337637208402156,0.7126766332172845,3,0.010526316,0.0,0.03402776425086713
0.32,0.0,ducati,0.99,washer,0,4,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,85611351a,1.28,0.0,570,0.0,0.0,0.0,0,0.67,67.68,0,0,0,0,1.0,0.0,19,0.0,0.0,-0.04793071592226101
5.19,0.0,bmw group canada,8.99,"isa bolt, self-threading",0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,7129907933,5.19,0.0,570,0.0,0.0,0.0,0,3.8,42.27,0,0,0,0,1.0,0.0,19,0.0,0.0,-0.014763269314844034
53.44,0.0,bmw group canada,83.99,locking kit,0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,52537652853,53.44,0.0,570,0.0,0.0,0.0,0,30.55,36.37,0,0,0,0,1.0,0.0,19,0.0,0.0,-0.004071066799453953
4.31,0.0,ducati,8.99,pipe,0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,59017941a,4.31,0.0,1680,0.0,0.0,0.0,0,4.68,52.06,0,0,0,0,1.0,0.0,56,0.0,0.0,0.05466711234709541
29.89,0.0,triumph motorcycles,45.99,mgd ext kit,0,0,16.1,53.86,0.0,0,0,1,4.358899,active,0,a9708517,0.0,0.0,280,0.15294209704512912,45.99,29.89,0,16.1,35.01,0,0,0,0,0.017528634518384933,1.299847792998478,6,0.005263158,0.0,0.046325341344259065
820.8,0.0,bmw group canada,1140.99,fuel pump assy,0,1,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,16147718349,820.8,0.0,420,0.0,0.0,0.0,0,320.19,28.06,0,0,0,0,1.0,0.0,14,-0.00877193,0.0,-0.048791033565711114
7.2,0.0,bmw group canada,11.99,gasket ring,0,19,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,31427720040,136.8,0.0,510,0.0,0.0,0.0,0,4.79,39.95,0,0,0,0,1.0,0.0,17,-0.042105265,0.0,0.25324163316987214
136.16,0.0,ducati,194.99,brake lever assembly,0,0,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,45720552aa,0.0,0.0,510,0.0,0.0,0.0,0,58.83,30.17,0,1,0,0,1.0,0.0,17,-0.014035088,0.0,0.11105485998109113
42.56,0.0,bmw group canada,53.99,glove gs dry ladies' black b,0,0,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,76218395267,0.0,0.0,420,0.0,0.0,0.0,0,11.43,21.17,0,0,0,0,1.0,0.0,14,-0.00877193,0.0,0.0003148981128267361
1.24,0.0,ducati,2.99,plug 18 mm,0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,87310051a,1.24,0.0,1680,0.0,0.0,0.0,0,1.75,58.53,0,0,0,0,1.0,0.0,56,0.0,0.0,-0.012297577093391918
34.56,0.0,bmw group canada,48.99,bush,0,6,28.86,41.75,25.0,0,0,2,2.372684,active,0,31428396077,207.36,11.520000000000001,1050,0.17047045197510435,97.98,69.12,0,14.43,29.45,0,0,0,1095,0.017635929211974145,0.3474065138721351,4,-0.031578947,0.0,0.22250899477003896
6.2,0.0,triumph motorcycles,10.99,"seal, oil, dc 55 70 6",0,0,4.79,77.26,0.0,0,0,1,4.358899,idle,0,t3600706,0.0,1.9745222929936308,60,0.1565723801706227,10.99,6.2,0,4.79,43.59,1,0,1,0,0.017402269318699835,0.0,2,0.012280702,-0.5,0.005131021846832498
30.0,0.0,polaris acceptance,59.99,"valve tappet, graded",0,3,0.0,0.0,40.0,0,0,2,4.358899,idle,0,5138477-505,90.0,0.0,300,0.11054418752413353,0.0,0.0,0,29.99,49.99,0,0,0,547,0.024710779823362828,0.0,10,-0.003508772,0.0,-0.10526315789473686
20.0,0.0,polaris acceptance,39.99,throttle body gasket,0,3,19.99,99.95,43.75,0,0,1,4.358899,active,0,5814023,60.0,0.3779595583272589,861,0.13041801391247554,39.99,20.0,0,19.99,49.99,1,0,0,1095,0.018081057630479336,0.4237031656679378,5,0.007017544,0.0,0.07467666421767033
181.99,0.0,polaris acceptance,259.99,"kit-bag,windshield,blk",0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,2879577-01,181.99,0.0,630,0.0,0.0,0.0,0,78.0,30.0,0,0,0,0,1.0,0.0,21,0.0,0.0,0.0011752157562768524
8.92,0.0,triumph motorcycles,13.99,"shim, 2.875mm,",0,8,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,t1131057,71.36,0.0,570,0.0,0.0,0.0,0,5.07,36.24,0,0,0,0,1.0,0.0,19,0.0,0.0,0.011552520158840176
35.74,0.0,triumph motorcycles,54.99,"footrest, rear, finisher kit",0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,a9778037,35.74,0.0,570,0.0,0.0,0.0,0,19.25,35.01,0,0,0,0,1.0,0.0,19,0.0,0.0,-0.010807463224288393
