part_number,normalized_seasonal_score,sales_sep,sales_oct,supplier_name,price,sales_last_jan,sales_feb,description,quantity_ordered_ytd,sales_last_apr,margin,quantity,sales_last_nov,sales_jan,sales_last_oct,sales_last_jul,sales_last_sep,sales_last_dec,sales_mar,special_orders_ytd,sales_may,sales_jun,sales_jul,sales_aug,sales_dec,negative_on_hand,sales_last_mar,sales_last_aug,sales_last_may,months_no_sale,sales_last_jun,sales_last_feb,sales_apr,sales_nov,cost_per_unit,total_cost,margin_percentage,sales_revenue,cogs,gross_profit,roi,rolling_3m_sales,rolling_12m_sales,12m_days_supply,3m_days_supply,1m_days_supply,turnover,3m_turnover,sell_through_rate,days_of_inventory_outstanding,order_to_sales_ratio,sales_trend,sales_volatility,recent_sales_trend,demand
46014971b,0.005676441377455915,0,0,ducati,18.99,0,0,mudflap,0,1,6.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,12.71,0.0,33.07,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,450,0.0,-0.010526316,4.358899,0.0,0.0
55620341c,-0.028466583582309538,0,0,ducati,217.99,0,0,"bracket, side stand",0,0,65.41,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,152.58,0.0,30.01,217.99,152.58,65.41,42.87,1,1,0,0,0,0.0,2.449791274829121,0.0,60,0.0,0.012280702,4.358899,-0.5,0.14630434353717764
981088047,0.011982678980565244,0,0,ducati,379.99,0,0,gloves tour c5 2in1 gtx xxl,0,0,114.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,265.3,265.3,30.18,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
51148551846,-0.011982678980565254,0,0,bmw group canada,115.99,0,0,lettering right,0,0,33.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,82.8,82.8,28.61,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
286141312,0.14207151247988273,0,0,polaris acceptance,84.99,0,0,"mens arlington mesh gl ce, 2xl",0,0,29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,1,0,0,55.24,0.0,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,480,0.0,-0.02631579,2.9953668,0.0,0.0
3600003-t0301,0.04515012558798221,0,0,triumph motorcycles,1.99,0,0,o ring rubber,0,0,0.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1.24,4.96,37.69,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
52201964201,-0.023535199139405275,0,0,bmw group canada,1.99,0,0,"clip, black",0,0,1.27,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,5,0,0.72,10.8,63.82,19.9,7.2,12.7,176.39,5,10,547,270,0,0.2223938223938224,0.360450563204005,40.0,1641,0.0,0.114035085,2.9953668,-2.5,0.556161464690028
87210151a,0.008771929824561398,0,0,ducati,2.99,0,0,"cap, bar end",0,0,2.99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
79672,0.022359983383128567,0,0,ducati,15.99,0,0,bulb 12v 55w h1 halogen,0,0,8.35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,7.64,30.56,52.22,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1680,0.0,0.0,0.0,0.0,0.0
7081909,0.6286296036440822,0,0,polaris acceptance,6.99,0,0,"clip-m5,stud mount tie,146mm",0,0,3.49,15,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3.5,52.5,49.93,55.92,28.0,27.92,99.71,0,16,342,0,0,0.2417022745910484,1.8666666666666667,51.61,1510,0.0,0.10701755,2.5733173,0.0,0.5738041814786057
361-0283,0.03156207202941504,0,0,motovan,44.99,0,0,fa283 brake pads,0,0,15.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,29.99,89.97,33.34,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2040,0.0,0.0,0.0,0.0,0.0
7519844,0.31601999510200723,0,0,polaris acceptance,8.99,0,0,scr-sh-m10x1.5x30 8.8 zpb d204,0,0,4.49,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,4.5,22.5,49.94,0.0,0.0,0.0,0.0,0,4,456,0,0,0.0,0.0,44.44,210,0.0,-0.014035088,3.1759124,0.0,0.17819889235930014
286289403,0.04515012558798223,0,0,polaris acceptance,59.99,0,0,mw loopback script ls tee m,0,0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,38.99,38.99,35.01,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,510,0.0,-0.014035088,4.358899,0.0,0.0
076m9a,-0.003210749156003838,0,0,thibault canada,184.99,0,0,anodized aluminium trekker,0,0,55.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,129.49,129.49,30.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
79911661a,-0.0597981341939279,0,0,ducati,6.99,0,0,spring. footrest,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1.93,0.0,72.39,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,390,0.0,-0.007017544,4.358899,0.0,0.0
920-0145,-0.010807463224288393,0,0,royal enfield,1099.99,0,0,big bore kit 865cc (royal enfield 650,0,0,700.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,399.95,399.95,63.64,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,630,0.0,0.0,0.0,0.0,0.0
